id,difficulty,category,question,ground_truth,block,theme,model_answer
1,Easy,Keywords,"If I attack with a creature with [[Lifelink]] and my opponent blocks with a 1/1, do I still gain life equal to my creature's power?","Yes. Lifelink causes you to gain life equal to the damage dealt. Even if the blocker has only 1 toughness, your creature deals damage equal to its full power during the combat damage step.",1,Combat & Basic Keywords,"Ah, the intricacies of combat and lifelink! Let us delve into the mechanics at play here.

### 1. The Interaction
You are attacking with a creature enchanted by **Lifelink**, and your opponent blocks with a 1/1 creature. The key elements here are the lifelink ability and the combat damage assignment.

### 2. The Logic (Step-by-Step)
- **Combat Damage Assignment**: When your creature with lifelink attacks and is blocked, it will assign its combat damage to the blocking creature. According to Rule 510.1a, the attacking creature assigns damage equal to its power to the blocking creature.
- **Damage Resolution**: If your creature has a power greater than 1, it will deal damage to the 1/1 blocker. For instance, if your creature is a 3/3, it will assign 3 damage to the 1/1 blocker, which is more than enough to destroy it.
- **Lifelink Activation**: The lifelink ability states that damage dealt by a source with lifelink causes its controller to gain that much life (Rule 702.15b). Therefore, regardless of how much damage is assigned to the blocking creature, you will gain life equal to the damage dealt by your creature.
- **Example Calculation**: If your creature is a 3/3 and it deals 3 damage to the 1/1 blocker, you will gain 3 life. If your creature is a 1/1 and it deals 1 damage to the 1/1 blocker, you will gain 1 life. 

Crucially, the lifelink ability is triggered by the damage dealt, not by the outcome of that damage (i.e., whether the blocking creature survives or not).

### 3. The Ruling
Yes, you will gain life equal to your creature's power, as the lifelink ability activates based on the damage dealt, regardless of the blocking creature's toughness.

### Sources
[[Lifelink]], [Rule 702.15b (Lifelink)]  
[[Combat Damage]], [Rule 510.1a (Combat Damage Assignment)]"
2,Easy,Keywords,Can a creature with [[Flying]] be blocked by a creature with [[Reach]]?,Yes. Reach is a keyword specifically designed to allow creatures to block attackers with Flying as if the blocker also had Flying.,1,Combat & Basic Keywords,"Ah, the intricacies of combat mechanics! Let us delve into the relationship between flying and reach.

### 1. The Interaction
We are examining the interaction between a creature with flying and a creature with reach. The key terms here are ""flying,"" which allows a creature to evade most blockers, and ""reach,"" which enables a creature to block those elusive flying creatures.

### 2. The Logic (Step-by-Step)
- **Flying Mechanics**: According to Rule 702.9b, a creature with flying can only be blocked by creatures that also have flying or reach. This is a fundamental aspect of how flying operates in the game.
- **Reach Mechanics**: The reach ability, as defined in Rule 702.17, allows a creature to block flying creatures. Thus, a creature with reach is specifically designed to counter the advantage of flying.
- **Blocking Scenario**: When a creature with flying attacks, the defending player may declare a creature with reach as a blocker. This is permissible because the reach ability allows it to interact with flying creatures effectively.

### 3. The Ruling
Yes, a creature with flying can indeed be blocked by a creature with reach.

### Sources
[[Flying]], [Rule 702.9b (Flying)]; [[Reach]], [Rule 702.17 (Reach)]."
3,Easy,Keywords,"If my creature has [[Vigilance]], does it still tap to activate an ability with the {T} symbol after it has attacked?","Yes. Vigilance means the creature does not tap to attack. Since it remains untapped after the declare attackers step, it is available to be tapped for other abilities later.",1,Combat & Basic Keywords,"Ah, the nuances of vigilance and tapping mechanics! Let us delve into the intricacies of this interaction.

### 1. The Interaction
The key card in question is **Vigilance**, an enchantment that grants the enchanted creature the ability to attack without tapping. The query revolves around whether a creature with vigilance can still tap to activate an ability that requires the {T} symbol after it has attacked.

### 2. The Logic (Step-by-Step)
- **Vigilance Effect**: When a creature is enchanted with Vigilance, it does not tap when it attacks. This means that during the Declare Attackers step, the creature remains untapped despite being declared as an attacker.
- **Activated Abilities**: According to Rule 602.5a, a creature's activated ability that includes the tap symbol ({T}) can be activated unless it has been controlled by its controller continuously since the beginning of their most recent turn. However, vigilance does not prevent the creature from being tapped for other purposes after it has attacked.
- **Post-Attack Tapping**: Once the creature has attacked, it remains untapped due to vigilance. Therefore, it can still be tapped to activate an ability with the {T} symbol, as long as it is not already tapped for another reason (e.g., it has not been tapped for a different ability or effect).

Crucially, the ability to tap for activation is independent of the attack status. The creature can be tapped after the attack for any valid ability that requires it to do so.

### 3. The Ruling
Yes, a creature with Vigilance can still tap to activate an ability with the {T} symbol after it has attacked, provided it is not already tapped for another reason.

### Sources
[[Vigilance]], [Rule 702.20b (Vigilance)]  
[[Vigilance]], [Rule 602.5a (Activated Abilities)]  
[[Vigilance]], [Rule 508.1f (Declare Attackers Step)]"
4,Easy,Keywords,Does [[Ward 2]] counter a spell if the opponent doesn't pay the {2} mana?,"Yes. Ward is a triggered ability. When the creature becomes the target of a spell or ability an opponent controls, that spell/ability is countered unless the player pays the cost.",1,Combat & Basic Keywords,"Ah, the intricacies of ward mechanics! Let us delve into the nuances of this triggered ability.

### 1. The Interaction
We are examining the ward ability, specifically the scenario where a creature with Ward {2} becomes the target of a spell or ability controlled by an opponent. 

### 2. The Logic (Step-by-Step)
- **Triggered Ability**: Ward is a triggered ability that activates whenever the permanent with ward is targeted by a spell or ability from an opponent. In this case, the ability states that the spell or ability will be countered unless the opponent pays the specified cost, which is {2} in this instance.
  
- **Cost Payment**: If the opponent chooses not to pay the {2} mana when the ward ability triggers, the spell or ability targeting the creature will indeed be countered. This is because the ward ability explicitly requires the payment of the cost to avoid being countered.

- **Independence of Abilities**: It is crucial to note that the ward ability operates independently of the source of the spell or ability that triggered it. Thus, even if the spell is removed or the source is no longer present, the ward ability will still resolve based on the Last Known Information (LKI) of the situation.

### 3. The Ruling
If the opponent does not pay the {2} mana when a spell targets a creature with Ward {2}, that spell will be countered.

### Sources
[[Ward of Piety]], [Rule 702.21a (Ward)]  
[[Purple Worm]], [Rule 702.21a (Ward)]  
[[Suspicious Detonation]], [Rule 702.21a (Ward)]  
[[Westgate Regent]], [Rule 702.21a (Ward)]  
[[Patchwork Automaton]], [Rule 702.21a (Ward)]"
5,Medium,Keywords,"If I attack with a creature with [[Deathtouch]] and [[Trample]], and it is blocked, how much damage do I need to assign to the blocker?","You only need to assign 1 point of damage to the blocker. Because of Deathtouch, any amount of damage is considered lethal. The rest of the damage can 'trample' over to the defending player.",1,Combat & Basic Keywords,"Ah, the intricacies of combat mechanics! Let us delve into the nuances of assigning damage when a creature with both deathtouch and trample is involved.

### 1. The Interaction
You are attacking with a creature that possesses both deathtouch and trample, and it is subsequently blocked by an opposing creature. 

### 2. The Logic (Step-by-Step)
- **Deathtouch**: This ability stipulates that any amount of damage dealt to a creature is considered lethal damage. Thus, even a single point of damage from your creature will suffice to satisfy the requirement for lethal damage.
- **Trample**: When a creature with trample is blocked, the controller must assign enough damage to the blocking creature to meet the lethal damage threshold before assigning any excess damage to the defending player or planeswalker. 

Now, since your creature has deathtouch, you need only assign **1 damage** to the blocking creature to fulfill the lethal damage requirement. After that, any remaining damage can be assigned to the defending player or planeswalker.

Crucially, if your creature's power is greater than 1, you can assign the minimum lethal damage (1) to the blocker and then assign the rest of the damage to the defending player. For example, if your creature has a power of 4, you would assign 1 damage to the blocker and 3 damage to the defending player.

### 3. The Ruling
You must assign at least 1 damage to the blocking creature, and any excess damage can be assigned to the defending player or planeswalker.

### Sources
[[Deathtouch]], [Rule 702.2c]  
[[Trample]], [Rule 702.19b]  
[[Combat Damage Assignment]], [Rule 510.1]"
6,Easy,Keywords,Can a creature with [[Haste]] activate an ability with a {T} symbol the turn it comes into play?,Yes. Haste removes the restriction that prevents a creature from attacking or using tap abilities until you have controlled it since the beginning of your most recent turn.,1,Combat & Basic Keywords,"Ah, the intricacies of haste and activated abilities! Let us delve into this fascinating interaction.

### 1. The Interaction
We are examining the relationship between the keyword ability Haste and the activation of abilities that require tapping a creature, denoted by the {T} symbol.

### 2. The Logic (Step-by-Step)
- **Understanding Haste**: Haste is a static ability that allows a creature to ignore the ""summoning sickness"" rule, which typically prevents a creature from attacking or activating abilities that require tapping or untapping unless it has been under its controller's control since the beginning of their most recent turn (Rule 302.6).
- **The Role of Haste**: When a creature gains haste, it can attack and activate its {T} abilities immediately, regardless of how long it has been under its controller's control. This is explicitly stated in Rule 702.10b and Rule 702.10c.
- **Application of the Rules**: Therefore, if a creature enters the battlefield and has haste, it can indeed activate any abilities that require tapping, even if it just came into play that turn.

### 3. The Ruling
Yes, a creature with Haste can activate an ability with a {T} symbol the turn it comes into play.

### Sources
[[Haste]], [Rule 702.10]  
[[Activated Abilities]], [Rule 602.5a]  
[[Summoning Sickness]], [Rule 302.6]"
7,Medium,Turn Structure,Can I cast a creature spell during my opponent's end step if it does not have [[Flash]]?,"No. Without Flash, creatures can only be cast during your own main phases when the stack is empty.",1,Combat & Basic Keywords,"Ah, the nuances of timing and spellcasting! Let us delve into the intricacies of casting spells, particularly in relation to the concept of ""flash.""

### 1. The Interaction
The key card in question is a creature spell that does not possess the flash ability. The scenario involves casting this creature spell during your opponent's end step.

### 2. The Logic (Step-by-Step)
- **Understanding Flash**: The ability ""flash"" allows a player to cast a card at any time they could cast an instant. However, if a creature does not have flash, it cannot be cast outside of your own main phases when the stack is empty.
- **Timing Restrictions**: According to Rule 302.1, a player may only cast a creature card from their hand during a main phase of their turn when the stack is empty. This means that you cannot cast a creature spell during your opponent's end step unless it has flash.
- **End Step Context**: The end step is part of your opponent's turn, and unless you have a means to cast the creature as though it had flash (which it does not), you are restricted from doing so.

### 3. The Ruling
You cannot cast a creature spell during your opponent's end step if it does not have flash.

### Sources
[[Flash]], [Rule 702.8a (Flash)]; [[Creature Spell]], [Rule 302.1 (Casting Spells)]."
8,Easy,Keywords,"If my creature has [[First Strike]] and my opponent's creature doesn't, and my creature's power is enough to kill theirs, does my creature take any damage?","No. Your creature deals damage in the first strike damage step. If the opponent's creature dies there, it won't be around to deal damage in the regular combat damage step.",1,Combat & Basic Keywords,"Ah, a query that delves into the intricacies of combat mechanics! Let us dissect this scenario with precision.

### 1. The Interaction
You have a creature with First Strike, while your opponent's creature lacks this ability. The power of your creature is sufficient to deal lethal damage to the opponent's creature.

### 2. The Logic (Step-by-Step)
- **First Strike Mechanics**: As per Rule 702.7, a creature with First Strike deals its combat damage before creatures without First Strike during the first combat damage step. This is crucial to understanding the sequence of events.
- **Damage Assignment**: In this case, your creature will assign its damage first. If the damage is equal to or greater than the toughness of the opponent's creature, it will indeed destroy it.
- **Damage to Your Creature**: However, since your opponent's creature does not have First Strike, it will not deal damage until the second combat damage step. Thus, your creature will not take any damage during the first combat damage step, as it is the only one dealing damage at that time.

### 3. The Ruling
Your creature will not take any damage in this scenario, as it deals damage first and destroys the opponent's creature before it has a chance to retaliate.

### Sources
[[First Strike]], [Rule 702.7]  
[[Combat Damage Step]], [Rule 510.4]"
9,Medium,Keywords,"If a creature has [[Indestructible]], does it die if its toughness is reduced to 0 by an effect like [[Toxic Deluge]]?","Yes. Indestructible only prevents destruction (from damage or 'destroy' effects). Having 0 toughness is a state-based action that puts the creature into the graveyard, which is not destruction.",1,Combat & Basic Keywords,"Ah, the intricacies of creature interactions and the nuances of indestructibility! Let us delve into this matter with the precision it deserves.

### 1. The Interaction
The key cards in this scenario are Toxic Deluge, which reduces the toughness of creatures, and the concept of indestructibility, which prevents a creature from being destroyed.

### 2. The Logic (Step-by-Step)
- **Toxic Deluge** resolves and you choose a value for X, which determines how much toughness is reduced from all creatures on the battlefield. For instance, if you choose X = 3, all creatures will receive -3/-3 until the end of turn.
- Now, consider a creature with indestructible. According to Rule 702.12b, an indestructible permanent cannot be destroyed, regardless of the amount of damage marked on it or its toughness being reduced to 0.
- When Toxic Deluge reduces the toughness of an indestructible creature to 0, it does not trigger the destruction state-based action because the creature is not subject to destruction due to its indestructible status. Thus, even if its toughness is effectively 0, it remains on the battlefield.

Crucially, the interaction here hinges on the definition of destruction. The state-based actions that would normally destroy a creature with 0 toughness do not apply to indestructible creatures.

### 3. The Ruling
A creature with indestructible does not die if its toughness is reduced to 0 by an effect like Toxic Deluge; it remains on the battlefield.

### Sources
[[Toxic Deluge]], [Rule 704.5g (State-Based Actions)]  
[[Indestructible]], [Rule 702.12b (Indestructible)]"
10,Easy,Keywords,"If I have [[Double Strike]], do I get two triggers for an ability that says 'Whenever this creature deals combat damage'?","Yes. The creature deals damage in two separate steps (first strike and regular), so the ability will trigger twice, once for each time it deals damage.",1,Combat & Basic Keywords,"Ah, a query regarding the nuances of combat damage and triggered abilities! Let us delve into the mechanics at play.

### 1. The Interaction
You are inquiring about the interaction between the double strike ability and a triggered ability that activates ""whenever this creature deals combat damage."" 

### 2. The Logic (Step-by-Step)
- **Understanding Double Strike**: Double strike allows a creature to deal damage in two separate combat damage steps: the first for creatures with double strike or first strike, and the second for all remaining creatures that do not have either ability. This is crucial because it means that any triggered ability that activates upon dealing combat damage will have the opportunity to trigger twice if the creature has double strike.
  
- **Triggered Abilities**: The ability you mentioned, ""Whenever this creature deals combat damage,"" is a triggered ability. According to the rules, if a creature with double strike deals combat damage, it will trigger the ability once for the first combat damage step and again for the second combat damage step. 

- **Independence of Abilities**: The independence of abilities means that once the ability is placed on the stack, it will resolve based on the state of the game at that moment, regardless of any changes to the creature's status thereafter. Thus, even if the creature were to lose double strike after the first damage step, the ability would still trigger for both instances of damage dealt.

### 3. The Ruling
Yes, if you have a creature with double strike, you will receive two triggers for an ability that says ""Whenever this creature deals combat damage.""

### Sources
[[Double Strike]], [Rule 702.4]  
[[Battle Mastery]], [Rule 702.4d]  
[[Duelist's Heritage]], [Rule 702.4]"
