id,difficulty,category,question,ground_truth,block,theme,answer,latency,success,error
1,Easy,Keywords,"If I attack with a creature with [[Lifelink]] and my opponent blocks with a 1/1, do I still gain life equal to my creature's power?","Yes. Lifelink causes you to gain life equal to the damage dealt. Even if the blocker has only 1 toughness, your creature deals damage equal to its full power during the combat damage step.",1,Combat & Basic Keywords,"You gain life equal to the damage dealt to the blocking creature, which in this case is 1 life.",11.262791633605957,True,
2,Easy,Keywords,Can a creature with [[Flying]] be blocked by a creature with [[Reach]]?,Yes. Reach is a keyword specifically designed to allow creatures to block attackers with Flying as if the blocker also had Flying.,1,Combat & Basic Keywords,"Yes, a creature with flying can indeed be blocked by a creature with reach.",11.765374183654785,True,
3,Easy,Keywords,"If my creature has [[Vigilance]], does it still tap to activate an ability with the {T} symbol after it has attacked?","Yes. Vigilance means the creature does not tap to attack. Since it remains untapped after the declare attackers step, it is available to be tapped for other abilities later.",1,Combat & Basic Keywords,"Yes, a creature with vigilance can still tap to activate an ability with the {T} symbol after it has attacked, as it remains untapped due to its vigilance ability.",10.822345972061157,True,
4,Easy,Keywords,Does [[Ward 2]] counter a spell if the opponent doesn't pay the {2} mana?,"Yes. Ward is a triggered ability. When the creature becomes the target of a spell or ability an opponent controls, that spell/ability is countered unless the player pays the cost.",1,Combat & Basic Keywords,"If the opponent does not pay the {2} mana when a spell targets a creature with ward, that spell is countered.",10.538496971130371,True,
5,Medium,Keywords,"If I attack with a creature with [[Deathtouch]] and [[Trample]], and it is blocked, how much damage do I need to assign to the blocker?","You only need to assign 1 point of damage to the blocker. Because of Deathtouch, any amount of damage is considered lethal. The rest of the damage can 'trample' over to the defending player.",1,Combat & Basic Keywords,"You must assign at least 1 damage to the blocking creature due to deathtouch, and any excess damage can be assigned to the defending player or planeswalker.",11.317105770111084,True,
6,Easy,Keywords,Can a creature with [[Haste]] activate an ability with a {T} symbol the turn it comes into play?,Yes. Haste removes the restriction that prevents a creature from attacking or using tap abilities until you have controlled it since the beginning of your most recent turn.,1,Combat & Basic Keywords,"Yes, a creature with Haste can activate an ability with a {T} symbol the turn it comes into play.",9.415885925292969,True,
7,Medium,Turn Structure,Can I cast a creature spell during my opponent's end step if it does not have [[Flash]]?,"No. Without Flash, creatures can only be cast during your own main phases when the stack is empty.",1,Combat & Basic Keywords,You cannot cast a creature spell during your opponent's end step if it does not have Flash.,7.070969104766846,True,
8,Easy,Keywords,"If my creature has [[First Strike]] and my opponent's creature doesn't, and my creature's power is enough to kill theirs, does my creature take any damage?","No. Your creature deals damage in the first strike damage step. If the opponent's creature dies there, it won't be around to deal damage in the regular combat damage step.",1,Combat & Basic Keywords,"Thus, your creature will not take any damage in this scenario, as it destroys the opponent's creature before it has the opportunity to deal damage.",11.906598806381226,True,
9,Medium,Keywords,"If a creature has [[Indestructible]], does it die if its toughness is reduced to 0 by an effect like [[Toxic Deluge]]?","Yes. Indestructible only prevents destruction (from damage or 'destroy' effects). Having 0 toughness is a state-based action that puts the creature into the graveyard, which is not destruction.",1,Combat & Basic Keywords,A creature with indestructible does not die if its toughness is reduced to 0 by an effect like Toxic Deluge; it remains on the battlefield.,8.819397211074829,True,
10,Easy,Keywords,"If I have [[Double Strike]], do I get two triggers for an ability that says 'Whenever this creature deals combat damage'?","Yes. The creature deals damage in two separate steps (first strike and regular), so the ability will trigger twice, once for each time it deals damage.",1,Combat & Basic Keywords,"Thus, if you have a creature with double strike, you will receive two triggers for an ability that says ""Whenever this creature deals combat damage.""",10.624730825424194,True,
